,0,1,2,prev_error_0,prev_error_1,prev_error_2
2019-09-13 06:30:00+00:00,0.9398911625301537,0.9398911625301537,0.9894187418116479,0.13636279227218528,0.13636279227218528,0.18032650707794629
2019-09-13 07:00:00+00:00,0.8470599959433959,0.8470599959433959,0.9093126292360878,0.026327455840093772,0.026327455840093772,0.07585503512158798
2019-09-13 07:30:00+00:00,0.7690398593122425,0.7690398593122425,0.8302890316953325,-0.008489189441972078,-0.008489189441972078,0.05376344385071985
2019-09-13 08:00:00+00:00,0.6850909730702661,0.6850909730702661,0.7653381296070405,-0.01829171805424068,-0.01829171805424068,0.04295745432884934
2019-09-13 08:30:00+00:00,0.6248560994469042,0.6248560994469042,0.7144599229712119,0.009276940400647526,0.009276940400647526,0.08952409693742192
2019-09-13 09:00:00+00:00,0.5758182225112257,0.5758182225112257,0.6635817163353831,0.043645671615084924,0.043645671615084924,0.13324949513939255
2019-09-13 09:30:00+00:00,0.5159145859795228,0.5159145859795228,0.6105384796299447,0.06248912901129322,0.06248912901129322,0.1502526228354506
2019-09-13 10:00:00+00:00,0.4603190032887405,0.4603190032887405,0.5639903331333354,0.09516310056963784,0.09516310056963784,0.18978699422005973
2019-09-13 10:30:00+00:00,0.42273936658029787,0.42273936658029787,0.5239372768455554,0.07701921652208826,0.07701921652208826,0.18069054636668314
2019-09-13 11:00:00+00:00,0.3863604643291187,0.3863604643291187,0.4871317656621899,0.0867309389503404,0.0867309389503404,0.18792884921559788
2019-09-13 11:30:00+00:00,0.3412156090451097,0.3412156090451097,0.4546563146180439,0.03759243450120747,0.03759243450120747,0.1383637358342787
2019-09-13 12:00:00+00:00,0.3001382663806977,0.3001382663806977,0.4232633786087028,0.03382595196947569,0.03382595196947569,0.14726665754240986
2019-09-13 12:30:00+00:00,0.28228498147015474,0.28228498147015474,0.3929529576341665,0.009921542562810526,0.009921542562810526,0.13304665479081562
2019-09-13 13:00:00+00:00,0.26426706383845994,0.26426706383845994,0.36589008176404486,-0.024960558311051595,-0.024960558311051595,0.08570741785296015
2019-09-13 13:30:00+00:00,0.24614563461562172,0.24614563461562172,0.3409922359635329,-0.06898642594584342,-0.06898642594584342,0.0326365919797415
2019-09-13 14:00:00+00:00,0.22852599015365962,0.22852599015365962,0.3182594202326307,-0.07028163888013766,-0.07028163888013766,0.02456496246777351
2019-09-13 14:30:00+00:00,0.21213271159057745,0.21213271159057745,0.2966091195365334,-0.05615579409562757,-0.05615579409562757,0.03357763598334351
2019-09-13 15:00:00+00:00,0.19791219061682916,0.19791219061682916,0.2738763038056312,-0.030782209808410094,-0.030782209808410094,0.05369419813754586
2019-09-13 15:30:00+00:00,0.18823434975725986,0.18823434975725986,0.25222600310953386,-0.030024975443882662,-0.030024975443882662,0.045939137744919395
2019-09-13 16:00:00+00:00,0.18171213369054798,0.18171213369054798,0.23165821744824142,0.02239293968691705,0.02239293968691705,0.08638459303919105
2019-09-13 16:30:00+00:00,0.1682142222054484,0.1682142222054484,0.2132554618565587,0.04957328395187671,0.04957328395187671,0.09951936770957015
2019-09-13 17:00:00+00:00,0.15553158772868778,0.15553158772868778,0.1970177363344857,0.0554748134906099,0.0554748134906099,0.10051605314172019
2019-09-13 17:30:00+00:00,0.14535787705630773,0.14535787705630773,0.18294504088202243,0.050522296501920444,0.050522296501920444,0.09200844510771836
2019-09-13 18:00:00+00:00,0.1350027746432573,0.1350027746432573,0.16995486046436403,0.03570341390479835,0.03570341390479835,0.07329057773051305
2019-09-13 18:30:00+00:00,0.1229796568757818,0.1229796568757818,0.1580471950815105,0.036739843720859006,0.036739843720859006,0.07169192954196574
2019-09-13 19:00:00+00:00,0.12128995337845047,0.12128995337845047,0.1483045597682667,0.023077130647213312,0.023077130647213312,0.058144668852942005
2019-09-13 19:30:00+00:00,0.11706273716108943,0.11706273716108943,0.13964443948982777,0.03325935036041873,0.03325935036041873,0.06027395675023496
